millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
32827,2021,6,19,17,25,16,7.21,6,2.02,363.10,127.2,0.3,47.59502410,-120.66488647,30.11,97327.71,338.25,22.87,
33330,2021,6,19,17,25,16,7.21,6,2.02,364.10,127.2,0.3,47.59502410,-120.66488647,30.12,97328.92,338.14,23.27,
33833,2021,6,19,17,25,17,7.27,6,2.02,364.10,189.9,0.6,47.59502410,-120.66489410,30.08,97334.47,337.67,22.38,
34336,2021,6,19,17,25,17,7.18,6,2.02,365.70,189.9,0.6,47.59502410,-120.66489410,30.06,97330.30,338.03,21.61,
34839,2021,6,19,17,25,18,7.24,6,2.02,365.70,189.9,0.1,47.59502792,-120.66489410,30.06,97331.64,337.91,21.34,
35342,2021,6,19,17,25,18,7.21,6,2.02,365.30,189.9,0.1,47.59502792,-120.66489410,30.06,97332.98,337.80,21.02,
35846,2021,6,19,17,25,19,7.27,6,2.02,365.30,148.1,0.8,47.59502792,-120.66488647,30.05,97331.33,337.94,21.05,
36349,2021,6,19,17,25,19,7.18,6,2.02,365.20,148.1,0.8,47.59502792,-120.66488647,30.03,97334.39,337.67,20.94,
36852,2021,6,19,17,25,20,7.24,6,2.02,365.20,148.1,0.1,47.59502029,-120.66487121,30.00,97330.30,338.03,20.87,
37355,2021,6,19,17,25,20,7.21,6,2.02,365.30,148.1,0.1,47.59502029,-120.66487121,29.98,97330.67,337.99,21.64,
37860,2021,6,19,17,25,21,7.21,6,2.02,365.30,148.1,0.0,47.59502029,-120.66487884,29.98,97334.30,337.68,21.13,
38362,2021,6,19,17,25,21,7.24,6,2.02,365.90,148.1,0.0,47.59502029,-120.66487884,29.96,97330.89,337.98,20.71,
38865,2021,6,19,17,25,22,7.18,6,2.02,365.90,148.1,0.1,47.59501647,-120.66488647,29.96,97334.51,337.66,20.18,
39367,2021,6,19,17,25,22,7.27,6,1.46,366.10,148.1,0.1,47.59501647,-120.66488647,29.96,97333.17,337.78,20.73,
39872,2021,6,19,17,25,23,7.24,6,1.46,366.10,148.1,0.0,47.59502029,-120.66489410,29.95,97331.14,337.95,20.67,
40375,2021,6,19,17,25,23,7.27,6,1.46,366.20,148.1,0.0,47.59502029,-120.66489410,29.96,97332.24,337.86,20.68,
40879,2021,6,19,17,25,24,7.24,6,1.46,366.20,148.1,0.0,47.59502410,-120.66489410,29.98,97331.61,337.91,20.64,
41380,2021,6,19,17,25,24,7.24,6,1.46,366.40,148.1,0.0,47.59502410,-120.66489410,29.97,97334.39,337.67,20.27,
41885,2021,6,19,17,25,25,7.27,6,1.46,366.40,148.1,0.0,47.59502410,-120.66490173,29.99,97334.98,337.62,20.62,
42387,2021,6,19,17,25,25,7.27,6,1.46,366.30,148.1,0.0,47.59502410,-120.66490173,30.00,97332.17,337.86,20.47,
42891,2021,6,19,17,25,26,7.27,6,1.46,366.30,148.1,0.0,47.59502410,-120.66490173,29.99,97331.36,337.93,20.74,
43395,2021,6,19,17,25,26,7.27,6,1.46,366.00,148.1,0.0,47.59502410,-120.66490173,30.02,97336.38,337.50,20.83,
43897,2021,6,19,17,25,27,7.30,6,1.46,366.00,148.1,0.0,47.59502410,-120.66490173,30.01,97332.86,337.81,20.89,
44398,2021,6,19,17,25,27,7.27,6,1.46,365.60,148.1,0.0,47.59502410,-120.66490173,30.01,97329.24,338.12,21.16,
44903,2021,6,19,17,25,28,7.24,6,1.46,365.30,148.1,0.0,47.59502410,-120.66490173,29.99,97328.68,338.17,21.38,
45407,2021,6,19,17,25,28,7.30,6,1.46,365.30,148.1,0.0,47.59502410,-120.66490173,29.98,97328.81,338.15,21.03,
45911,2021,6,19,17,25,29,7.30,6,1.46,365.00,148.1,0.1,47.59502410,-120.66490173,29.98,97331.49,337.92,21.72,
46416,2021,6,19,17,25,29,7.30,6,1.46,365.00,148.1,0.1,47.59502410,-120.66490173,29.99,97327.34,338.28,21.20,
46917,2021,6,19,17,25,30,7.33,6,1.46,364.90,80.6,0.3,47.59502792,-120.66490173,29.97,97328.50,338.18,21.46,
47418,2021,6,19,17,25,30,7.33,6,1.46,364.90,80.6,0.3,47.59502792,-120.66490173,29.94,97329.00,338.14,21.45,
47919,2021,6,19,17,25,31,7.27,6,1.46,364.90,80.6,0.0,47.59502792,-120.66490936,29.97,97331.30,337.94,21.38,
48421,2021,6,19,17,25,31,7.30,6,1.46,364.90,80.6,0.0,47.59502792,-120.66490936,29.97,97333.86,337.72,20.91,
48926,2021,6,19,17,25,32,7.30,6,1.46,364.50,80.6,0.1,47.59502792,-120.66490936,30.00,97333.92,337.71,21.01,
49428,2021,6,19,17,25,32,7.27,6,1.46,364.50,80.6,0.1,47.59502792,-120.66490936,29.99,97331.77,337.90,21.15,
49929,2021,6,19,17,25,33,7.30,6,1.46,364.40,80.6,0.0,47.59502792,-120.66490936,29.98,97331.61,337.91,21.01,
50435,2021,6,19,17,25,33,7.33,6,1.46,364.40,80.6,0.0,47.59502792,-120.66490936,29.97,97334.39,337.67,21.11,
50940,2021,6,19,17,25,34,7.27,6,1.46,364.60,80.6,0.2,47.59503173,-120.66490936,29.97,97329.03,338.13,21.25,
51441,2021,6,19,17,25,34,7.30,6,1.46,364.60,80.6,0.2,47.59503173,-120.66490936,29.95,97330.21,338.03,21.22,
51942,2021,6,19,17,25,35,7.24,6,1.46,364.60,80.6,0.0,47.59503173,-120.66491699,29.93,97334.58,337.66,21.13,
52443,2021,6,19,17,25,35,7.27,6,1.46,364.60,80.6,0.0,47.59503173,-120.66491699,29.91,97332.27,337.86,21.06,
52944,2021,6,19,17,25,36,7.24,6,1.46,364.70,80.6,0.0,47.59503173,-120.66491699,29.91,97329.46,338.10,21.05,
53449,2021,6,19,17,25,36,7.30,6,1.46,364.70,80.6,0.0,47.59503173,-120.66491699,29.92,97336.57,337.49,21.02,
53950,2021,6,19,17,25,37,7.27,6,1.46,364.80,80.6,0.1,47.59503173,-120.66491699,29.92,97335.11,337.61,21.17,
54451,2021,6,19,17,25,37,7.30,6,1.46,364.80,80.6,0.1,47.59503173,-120.66491699,29.92,97335.24,337.60,21.32,
54957,2021,6,19,17,25,38,7.30,6,1.46,365.00,80.6,0.5,47.59503555,-120.66492462,29.92,97326.66,338.34,20.88,
55462,2021,6,19,17,25,38,7.30,6,1.46,365.00,80.6,0.5,47.59503555,-120.66492462,29.94,97332.17,337.86,21.20,
55963,2021,6,19,17,25,39,7.27,6,1.46,364.60,80.6,0.2,47.59503936,-120.66492462,29.96,97331.02,337.97,21.39,
56468,2021,6,19,17,25,39,7.30,6,1.46,364.60,80.6,0.2,47.59503936,-120.66492462,29.96,97330.49,338.01,22.29,
56969,2021,6,19,17,25,40,7.27,6,1.46,364.30,80.6,0.0,47.59503555,-120.66492462,29.94,97332.61,337.83,20.94,
57475,2021,6,19,17,25,40,7.30,6,1.46,364.30,80.6,0.0,47.59503555,-120.66492462,29.93,97329.62,338.08,21.30,
57976,2021,6,19,17,25,41,7.27,6,1.46,364.20,80.6,0.0,47.59503173,-120.66492462,29.95,97331.55,337.92,21.74,
